,title,year,rating,IMDB_rating,votes,metascore,countries,languages,actors,tagline,genres,imdb_url,director,budget_in_dollars,opening_week_us_in_dollars,gross_usa_in_dollars,world_wide_box_office_in_dollars,num_genres,num_languages,num_countries
32,Schindler's List,1993,R,8.9,1139086,94,['USA'],"['English', 'Hebrew', 'German', 'Polish']","['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser']","Whoever saves one life, saves the world entire.","[' Biography', ' Drama', ' History']",https://www.imdb.com/title/tt0108052/,Steven Spielberg,22000000,656636,96898818,322243445,3,4,1
33,Saving Private Ryan,1998,R,8.6,1156781,91,['USA'],"['English', 'French', 'German', 'Czech']","['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg', 'Vin Diesel', 'Giovanni Ribisi', 'Jeremy Davies', 'Matt Damon', 'Ted Danson', 'Paul Giamatti', 'Dennis Farina', 'Joerg Stadler', 'Max Martini', 'Dylan Bruno']","In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.","[' Drama', ' War']",https://www.imdb.com/title/tt0120815/,Steven Spielberg,70000000,30576104,217049603,482349603,2,4,1
34,The Adventures of Tintin,2011,PG,7.3,207389,68,"['USA', 'New Zealand', 'UK']",['English'],"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Nick Frost', 'Simon Pegg', 'Daniel Mays', 'Gad Elmaleh', 'Toby Jones', 'Joe Starr', 'Enn Reitel', 'Mackenzie Crook', 'Tony Curran', 'Sonje Fortag', 'Cary Elwes', 'Phillip Rhys']","This year, discover how far adventure will take you.","[' Animation', ' Action', ' Adventure', ' Family', ' Mystery']",https://www.imdb.com/title/tt0983193/,Steven Spielberg,135000000,9720993,77591831,373993951,5,1,3
35,War Horse,2011,PG-13,7.2,140130,72,"['USA', 'India']","['English', 'German']","['Jeremy Irvine', 'Peter Mullan', 'Emily Watson', 'Niels Arestrup', 'David Thewlis', 'Tom Hiddleston', 'Benedict Cumberbatch', 'Celine Buckens', 'Toby Kebbell', 'Patrick Kennedy', 'Leonard Carow', 'David Kross', 'Matt Milne', 'Robert Emms', 'Eddie Marsan']",Separated by war. Tested by battle. Bound by friendship.,"[' Action', ' Adventure', ' Drama', ' History', ' War']",https://www.imdb.com/title/tt1568911/,Steven Spielberg,66000000,7515402,79884879,177584879,5,2,2
36,Bridge of Spies,2015,PG-13,7.6,271412,81,"['Germany', 'India', 'USA']","['English', 'German', 'Russian']","['Mark Rylance', 'Domenick Lombardozzi', 'Victor Verhaeghe', 'Mark Fichera', 'Brian Hutchison', 'Tom Hanks', 'Joshua Harto', 'Henny Russell', 'Rebekah Brockman', 'Alan Alda', 'John Rue', 'Billy Magnussen', 'Amy Ryan', 'Jillian Lebling', 'Noah Schnapp']",In a world on the brink the difference between war and peace was one honest man.,"[' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt3682448/,Steven Spielberg,40000000,15371203,72313754,165478348,3,3,3
37,The Post,2017,PG-13,7.2,118298,83,"['USA', 'UK']",['English'],"['Meryl Streep', 'Tom Hanks', 'Sarah Paulson', 'Bob Odenkirk', 'Tracy Letts', 'Bradley Whitford', 'Bruce Greenwood', 'Matthew Rhys', 'Alison Brie', 'Carrie Coon', 'Jesse Plemons', 'David Cross', 'Zach Woods', 'Pat Healy', 'John Rue']",Truth be told,"[' Biography', ' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt6294822/,Steven Spielberg,50000000,526011,81903458,179769457,4,1,2
38,Hugo,2011,PG,7.5,291509,83,"['UK', 'USA', 'France']",['English'],"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone', 'Emily Mortimer', 'Christopher Lee', 'Helen McCrory', 'Michael Stuhlbarg', 'Frances de la Tour', 'Richard Griffiths', 'Jude Law', 'Kevin Eldon', 'Gulliver McGrath', 'Shaun Aylward']",Discover the Key to the Mystery.,"[' Drama', ' Family', ' Fantasy', ' Mystery']",https://www.imdb.com/title/tt0970179/,Martin Scorsese,150000000,11364505,73864507,185770160,4,1,3
39,The Wolf of Wall Street,2013,R,8.2,1083912,75,['USA'],"['English', 'French']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne']",More is never enough,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0993846/,Martin Scorsese,100000000,18361578,116900694,392000694,3,2,1
40,Goodfellas,1990,R,8.7,948385,90,['USA'],"['English', 'Italian']","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese']",Murderers come with smiles.,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0099685/,Martin Scorsese,25000000,6368901,46836214,46879633,3,2,1
41,Mean Streets,1973,R,7.3,91183,96,['USA'],"['English', 'Italian']","['Robert De Niro', 'Harvey Keitel', 'David Proval', 'Amy Robinson', 'Richard Romanus', 'Cesare Danova', 'Victor Argo', 'George Memmoli', 'Lenny Scaletta', 'Jeannie Bell', 'Murray Moston', 'David Carradine', 'Robert Carradine', 'Lois Walden', 'Harry Northup']",Go to church on Sunday. Go to hell on Monday.,"[' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0070379/,Martin Scorsese,500000,32645,32645,41131,3,2,1
42,The Age of Innocence,1993,PG,7.2,46467,90,['USA'],"['English', 'Italian']","['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder', 'Linda Faye Farkas', 'Michael Rees Davis', 'Terry Cook', 'Jon Garrison', 'Richard E. Grant', 'Alec McCowen', 'Geraldine Chaplin', 'Mary Beth Hurt', 'Stuart Wilson', 'Howard Erskine', 'John McLoughlin', 'Christopher Nilsson']",In a world of tradition. In an age of innocence. They dared to break the rules.,"[' Drama', ' Romance']",https://www.imdb.com/title/tt0106226/,Martin Scorsese,34000000,2317289,32255440,32255440,2,2,1
43,Bringing Out the Dead,1999,R,6.8,60563,70,['USA'],['English'],"['Nicolas Cage', 'Patricia Arquette', 'John Goodman', 'Ving Rhames', 'Tom Sizemore', 'Marc Anthony', 'Mary Beth Hurt', 'Cliff Curtis', 'Nestor Serrano', 'Aida Turturro', 'Sonja Sohn', 'Cynthia Roman', 'Afemo Omilami', 'Cullen O. Johnson', 'Arthur J. Nascarella']",From the Director of Taxi Driver,"[' Drama', ' Thriller']",https://www.imdb.com/title/tt0163988/,Martin Scorsese,55000000,6193052,16797191,16797191,2,1,1
44,Taxi Driver,1976,R,8.3,671016,94,['USA'],"['English', 'Spanish']","['Diahnne Abbott', 'Robinson Frank Adu', 'Victor Argo', 'Gino Ardito', 'Garth Avery', 'Peter Boyle', 'Albert Brooks', 'Harry Cohn', 'Copper Cunningham', 'Robert De Niro', 'Brenda Dickson', 'Harry Fischler', 'Jodie Foster', 'Nat Grant', 'Leonard Harris']","On every street in every city, there's a nobody who dreams of being a somebody.","[' Crime', ' Drama']",https://www.imdb.com/title/tt0075314/,Martin Scorsese,1300000,116458,28262574,28441292,2,2,1
45,Raging Bull,1980,R,8.2,300840,89,['USA'],['English'],"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent', 'Nicholas Colasanto', 'Theresa Saldana', 'Mario Gallo', 'Frank Adonis', 'Joseph Bono', 'Frank Topham', 'Lori Anne Flax', 'Charles Scorsese', 'Don Dunphy', 'Bill Hanrahan', 'Rita Bennett']",,[],https://www.imdb.com/title/tt0081398/,Martin Scorsese,18000000,128590,23383987,23402117,0,1,1
46,After Hours,1985,R,7.7,52888,90,['USA'],['English'],"['Griffin Dunne', 'Rosanna Arquette', 'Verna Bloom', 'Tommy Chong', 'Linda Fiorentino', 'Teri Garr', 'John Heard', 'Cheech Marin', ""Catherine O'Hara"", 'Dick Miller', 'Will Patton', 'Robert Plunket', 'Bronson Pinchot', 'Rocco Sisto', 'Larry Block']","What if that date you thought would never end, didn't?","[' Comedy', ' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0088680/,Martin Scorsese,4500000,45435,10609321,10609321,4,1,1
47,The Color of Money,1986,R,7.0,70119,77,['USA'],"['English', 'Spanish']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver', 'John Turturro', 'Bill Cobbs', 'Robert Agins', 'Alvin Anastasia', 'Randall Arney', 'Elizabeth Bracco', ""Vito D'Ambrosio"", 'Ron Dean', 'Lisa Dodson', 'Donald A. Feeney', 'Paul Geier']","The Hustler isn't what he used to be, but he has the next best thing. A kid who is.","[' Drama', ' Sport']",https://www.imdb.com/title/tt0090863/,Martin Scorsese,13800000,6357877,52293982,52293982,2,2,1
48,The Last Temptation of Christ,1988,R,7.6,48390,80,"['Canada', 'USA']",['English'],"['Willem Dafoe', 'Harvey Keitel', 'Paul Greco', 'Steve Shill', 'Verna Bloom', 'Barbara Hershey', 'Roberts Blossom', 'Barry Miller', 'Gary Basaraba', 'Irvin Kershner', 'Victor Argo', 'Michael Been', 'Paul Herman', 'John Lurie', 'Leo Burmester']",,[],https://www.imdb.com/title/tt0095497/,Martin Scorsese,7000000,401211,8373585,8865702,0,1,2
49,Casino,1995,R,8.2,432421,73,"['France', 'USA']",['English'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'John Bloom', 'Pasquale Cajano', 'Melissa Prophet', 'Bill Allison', 'Vinny Vella']",Don't Push Your Luck.,"[' Crime', ' Drama']",https://www.imdb.com/title/tt0112641/,Martin Scorsese,52000000,9946480,42512375,116112375,2,1,2
50,Gangs of New York,2002,R,7.5,383901,72,"['USA', 'Italy']","['English', 'Irish', 'Chinese', 'Latin']","['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz', 'Jim Broadbent', 'John C. Reilly', 'Henry Thomas', 'Liam Neeson', 'Brendan Gleeson', 'Gary Lewis', 'Stephen Graham', 'Eddie Marsan', 'Alec McCowen', 'David Hemmings', 'Lawrence Gilliard Jr.', 'Cara Seymour']",America Was Born In The Streets.,"[' Crime', ' Drama']",https://www.imdb.com/title/tt0217505/,Martin Scorsese,100000000,9100000,77812000,193772504,2,4,2
51,The Departed,2006,R,8.5,1115995,85,['USA'],"['English', 'Cantonese']","['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Anthony Anderson', 'Alec Baldwin', 'Kevin Corrigan', 'James Badge Dale', ""David O'Hara"", 'Mark Rolston', 'Robert Wahlberg', 'Kristen Dalton']",Underhanded,"[' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0407887/,Martin Scorsese,90000000,26887467,132384315,291465034,3,2,1
52,Silence,2016,R,7.2,91125,79,"['USA', 'UK', 'Taiwan', 'Japan', 'Mexico', 'Italy']","['English', 'Japanese', 'Latin']","['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano', 'Ciarán Hinds', 'Issei Ogata', ""Shin'ya Tsukamoto"", 'Yoshi Oida', 'Yôsuke Kubozuka', 'Kaoru Endô', 'Diego Calderón', 'Rafael Kading', 'Matthew Blake', 'Benoit Masse', 'Tetsuya Igawa']",Sometimes silence is the deadliest sound.,"[' Drama', ' History']",https://www.imdb.com/title/tt0490215/,Martin Scorsese,46000000,130880,7100177,23737523,2,3,6
53,The Aviator,2004,PG-13,7.5,317098,77,"['Germany', 'USA']",['English'],"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly', 'Alec Baldwin', 'Alan Alda', 'Ian Holm', 'Danny Huston', 'Gwen Stefani', 'Jude Law', 'Adam Scott', 'Matt Ross', 'Kelli Garner', 'Frances Conroy', 'Brent Spiner']",Imagine a life without limits.,"[' Biography', ' Drama']",https://www.imdb.com/title/tt0338751/,Martin Scorsese,110000000,858021,102610330,213719942,2,1,2
54,Roosevelt,,,,,,['USA'],['English'],['Leonardo DiCaprio'],,[],https://www.imdb.com/title/tt7428530/,Martin Scorsese,2.35:1,,,,0,1,1
55,Shutter Island,2010,R,8.1,1047925,63,['USA'],"['English', 'German']","['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Nellie Sciutto', 'Joseph Sikora']",Someone is missing.,"[' Mystery', ' Thriller']",https://www.imdb.com/title/tt1130884/,Martin Scorsese,80000000,41062440,128012934,294804195,2,2,1
56,Taxi Driver,1976,R,8.3,671016,94,['USA'],"['English', 'Spanish']","['Diahnne Abbott', 'Robinson Frank Adu', 'Victor Argo', 'Gino Ardito', 'Garth Avery', 'Peter Boyle', 'Albert Brooks', 'Harry Cohn', 'Copper Cunningham', 'Robert De Niro', 'Brenda Dickson', 'Harry Fischler', 'Jodie Foster', 'Nat Grant', 'Leonard Harris']","On every street in every city, there's a nobody who dreams of being a somebody.","[' Crime', ' Drama']",https://www.imdb.com/title/tt0075314/,Martin Scorsese,1300000,116458,28262574,28441292,2,2,1
57,After Hours,1985,R,7.7,52888,90,['USA'],['English'],"['Griffin Dunne', 'Rosanna Arquette', 'Verna Bloom', 'Tommy Chong', 'Linda Fiorentino', 'Teri Garr', 'John Heard', 'Cheech Marin', ""Catherine O'Hara"", 'Dick Miller', 'Will Patton', 'Robert Plunket', 'Bronson Pinchot', 'Rocco Sisto', 'Larry Block']","What if that date you thought would never end, didn't?","[' Comedy', ' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0088680/,Martin Scorsese,4500000,45435,10609321,10609321,4,1,1
58,The Color of Money,1986,R,7.0,70119,77,['USA'],"['English', 'Spanish']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio', 'Helen Shaver', 'John Turturro', 'Bill Cobbs', 'Robert Agins', 'Alvin Anastasia', 'Randall Arney', 'Elizabeth Bracco', ""Vito D'Ambrosio"", 'Ron Dean', 'Lisa Dodson', 'Donald A. Feeney', 'Paul Geier']","The Hustler isn't what he used to be, but he has the next best thing. A kid who is.","[' Drama', ' Sport']",https://www.imdb.com/title/tt0090863/,Martin Scorsese,13800000,6357877,52293982,52293982,2,2,1
59,Mean Streets,1973,R,7.3,91183,96,['USA'],"['English', 'Italian']","['Robert De Niro', 'Harvey Keitel', 'David Proval', 'Amy Robinson', 'Richard Romanus', 'Cesare Danova', 'Victor Argo', 'George Memmoli', 'Lenny Scaletta', 'Jeannie Bell', 'Murray Moston', 'David Carradine', 'Robert Carradine', 'Lois Walden', 'Harry Northup']",Go to church on Sunday. Go to hell on Monday.,"[' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0070379/,Martin Scorsese,500000,32645,32645,41131,3,2,1
60,The King of Comedy,1982,PG,7.8,77359,73,['USA'],['English'],"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard', 'Ed Herlihy', 'Lou Brown', 'Loretta Tupper', 'Peter Potulski', 'Vinnie Gonzales', 'Whitey Ryan', 'Doc Lawless', 'Marta Heflin', 'Katherine Wallach', 'Charles Kaleina', 'Richard Baratz']","Nobody knows Rupert Pupkin, but by 11:30 tonight, the whole world will know he's . . . THE KING OF COMEDY","[' Comedy', ' Crime', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0085794/,Martin Scorsese,20000000,137624,2536242,2536242,4,1,1
61,Goodfellas,1990,R,8.7,948385,90,['USA'],"['English', 'Italian']","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese']",Murderers come with smiles.,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0099685/,Martin Scorsese,25000000,6368901,46836214,46879633,3,2,1
62,Cape Fear,1991,R,7.3,160358,73,['USA'],['English'],"['Robert De Niro', 'Nick Nolte', 'Jessica Lange', 'Juliette Lewis', 'Joe Don Baker', 'Robert Mitchum', 'Gregory Peck', 'Martin Balsam', 'Illeana Douglas', 'Fred Dalton Thompson', 'Zully Montero', 'Craig Henne', 'Forest Burton', 'Edgar Allan Poe IV', 'Rod Ball']",The Bowden family has moved to New Essex.,"[' Crime', ' Thriller']",https://www.imdb.com/title/tt0101540/,Martin Scorsese,35000000,10261025,79091969,182291969,2,1,1
63,The Age of Innocence,1993,PG,7.2,46467,90,['USA'],"['English', 'Italian']","['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder', 'Linda Faye Farkas', 'Michael Rees Davis', 'Terry Cook', 'Jon Garrison', 'Richard E. Grant', 'Alec McCowen', 'Geraldine Chaplin', 'Mary Beth Hurt', 'Stuart Wilson', 'Howard Erskine', 'John McLoughlin', 'Christopher Nilsson']",In a world of tradition. In an age of innocence. They dared to break the rules.,"[' Drama', ' Romance']",https://www.imdb.com/title/tt0106226/,Martin Scorsese,34000000,2317289,32255440,32255440,2,2,1
64,Kundun,1997,PG-13,7.0,24952,74,"['USA', 'Monaco', 'Morocco']","['English', 'Tibetan', 'Mandarin']","['Tenzin Thuthob Tsarong', 'Gyurme Tethong', 'Tulku Jamyang Kunga Tenzin', 'Tenzin Yeshi Paichang', 'Tencho Gyalpo', 'Tenzin Topjar', 'Tsewang Migyur Khangsar', 'Tenzin Lodoe', 'Geshi Yeshi Gyatso', 'Losang Gyatso', 'Sonam Phuntsok', 'Gyatso Lukhang', 'Lobsang Samten', 'Jigme Tsarong', 'Tenzin Trinley']",The destiny of a people lies in the heart of a boy.,"[' Biography', ' Drama', ' History', ' War']",https://www.imdb.com/title/tt0119485/,Martin Scorsese,28000000,72095,5684789,5684789,4,3,3
65,Bringing Out the Dead,1999,R,6.8,60563,70,['USA'],['English'],"['Nicolas Cage', 'Patricia Arquette', 'John Goodman', 'Ving Rhames', 'Tom Sizemore', 'Marc Anthony', 'Mary Beth Hurt', 'Cliff Curtis', 'Nestor Serrano', 'Aida Turturro', 'Sonja Sohn', 'Cynthia Roman', 'Afemo Omilami', 'Cullen O. Johnson', 'Arthur J. Nascarella']",From the Director of Taxi Driver,"[' Drama', ' Thriller']",https://www.imdb.com/title/tt0163988/,Martin Scorsese,55000000,6193052,16797191,16797191,2,1,1
66,The Wolf of Wall Street,2013,R,8.2,1083912,75,['USA'],"['English', 'French']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne']",More is never enough,"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0993846/,Martin Scorsese,100000000,18361578,116900694,392000694,3,2,1
67,Silence,2016,R,7.2,91125,79,"['USA', 'UK', 'Taiwan', 'Japan', 'Mexico', 'Italy']","['English', 'Japanese', 'Latin']","['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano', 'Ciarán Hinds', 'Issei Ogata', ""Shin'ya Tsukamoto"", 'Yoshi Oida', 'Yôsuke Kubozuka', 'Kaoru Endô', 'Diego Calderón', 'Rafael Kading', 'Matthew Blake', 'Benoit Masse', 'Tetsuya Igawa']",Sometimes silence is the deadliest sound.,"[' Drama', ' History']",https://www.imdb.com/title/tt0490215/,Martin Scorsese,46000000,130880,7100177,23737523,2,3,6
